# nu(cm-1)   I
      459   0.01751
      460   0.09988
      461   0.12034
      462   0.03968
      463  -0.00217
      464   0.02073
      465   0.07389
      466   0.05152
      467   0.02467
      468   0.00690
      469  -0.00675
      470   0.02957
      471   0.02478
      472  -0.00307
      473   0.03618
      474   0.08273
      475   0.06423
      476   0.04713
      477   0.03254
      478   0.03396
      479   0.07380
      480   0.10503
      481   0.09077
      482   0.07646
      483   0.10050
      484   0.13020
      485   0.11854
      486   0.13954
      487   0.15308
      488   0.14594
      489   0.11638
      490   0.20125
      491   0.19515
      492   0.16173
      493   0.14337
      494   0.10327
      495   0.06592
      496   0.05502
      497   0.04546
      498  -0.02372
      499  -0.02788
      500   0.00298
      501   0.04347
      502   0.05936
      503   0.03421
      504   0.00399
      505  -0.01975
      506   0.03690
      507   0.04136
      508   0.05571
      509   0.06895
      510   0.04838
      511   0.03581
      512   0.03423
      513   0.05414
      514   0.11687
      515   0.11912
      516   0.10424
      517   0.08981
      518   0.10985
      519   0.12178
      520   0.13677
      521   0.13958
      522   0.10243
      523   0.12696
      524   0.13266
      525   0.13818
      526   0.13456
      527   0.14827
      528   0.17547
      529   0.17260
      530   0.16208
      531   0.15639
      532   0.18063
      533   0.21463
      534   0.23158
      535   0.27411
      536   0.29866
      537   0.31633
      538   0.32417
      539   0.33566
      540   0.38240
      541   0.41534
      542   0.43884
      543   0.44948
      544   0.44351
      545   0.43041
      546   0.41516
      547   0.38207
      548   0.38093
      549   0.33782
      550   0.27897
      551   0.28226
      552   0.23255
      553   0.20821
      554   0.19648
      555   0.22101
      556   0.19099
      557   0.19434
      558   0.18713
      559   0.16257
      560   0.14880
      561   0.11776
      562   0.10612
      563   0.12915
      564   0.09914
      565   0.05906
      566   0.03119
      567   0.03565
      568   0.06608
      569   0.04423
      570   0.04041
      571   0.05249
      572   0.04933
      573   0.02770
      574   0.02628
      575   0.06248
      576   0.08434
      577   0.07120
      578   0.05581
      579   0.04108
      580   0.04420
      581   0.05102
      582   0.06628
      583   0.08681
      584   0.09779
      585   0.08291
      586   0.04538
      587   0.04259
      588   0.07535
      589   0.02982
      590   0.05799
      591   0.10364
      592   0.09837
      593   0.10807
      594   0.09209
      595   0.08230
      596   0.08370
      597   0.11213
      598   0.10632
      599   0.12059
      600   0.14458
      601   0.16989
      602   0.15997
      603   0.16856
      604   0.18513
      605   0.19268
      606   0.23032
      607   0.25063
      608   0.25687
      609   0.23990
      610   0.28560
      611   0.26892
      612   0.23851
      613   0.21331
      614   0.13914
      615   0.09838
      616   0.07874
      617   0.05223
      618   0.08353
      619   0.07151
      620   0.08043
      621   0.09370
      622   0.07346
      623   0.06163
      624   0.05545
      625   0.06145
      626   0.05282
      627   0.05135
      628   0.06061
      629   0.06578
      630   0.06422
      631   0.08189
      632   0.10706
      633   0.14333
      634   0.14205
      635   0.15438
      636   0.17812
      637   0.19155
      638   0.21625
      639   0.22418
      640   0.23277
      641   0.23110
      642   0.23578
      643   0.25030
      644   0.23451
      645   0.21035
      646   0.19431
      647   0.19036
      648   0.19725
      649   0.22688
      650   0.24312
      651   0.25163
      652   0.30629
      653   0.32252
      654   0.28727
      655   0.22273
      656   0.16798
      657   0.12378
      658   0.07745
      659   0.05012
      660   0.04271
      661   0.05294
      662   0.06439
      663   0.06826
      664   0.08341
      665   0.07027
      666   0.06759
      667   0.06145
      668   0.04694
      669   0.01002
      670   0.01298
      671   0.01910
      672   0.01650
      673   0.02830
      674   0.03513
      675   0.03824
      676   0.02648
      677   0.02641
      678   0.03007
      679   0.01711
      680  -0.00604
      681   0.02637
      682   0.01183
      683   0.00241
      684   0.02948
      685   0.04914
      686   0.03123
      687   0.02069
      688   0.03453
      689   0.05105
      690   0.03526
      691   0.02968
      692   0.03623
      693   0.05605
      694   0.03779
      695   0.04168
      696   0.03004
      697   0.01652
      698   0.02172
      699   0.00050
      700  -0.01565
      701  -0.01631
      702   0.01734
      703   0.01297
      704   0.01992
      705   0.03419
      706   0.03790
      707   0.02753
      708   0.03601
      709   0.06271
      710   0.09885
      711   0.12494
      712   0.13613
      713   0.15435
      714   0.20608
      715   0.19525
      716   0.14519
      717   0.10326
      718   0.08487
      719   0.06927
      720   0.06294
      721   0.04856
      722   0.03831
      723   0.02505
      724   0.04001
      725   0.05389
      726   0.05784
      727   0.03654
      728   0.05894
      729   0.06411
      730   0.05878
      731   0.05530
      732   0.06954
      733   0.08471
      734   0.09535
      735   0.06732
      736   0.06142
      737   0.04706
      738   0.04531
      739   0.05949
      740   0.08100
      741   0.04474
      742   0.05487
      743   0.06347
      744   0.03890
      745   0.05670
      746   0.06131
      747   0.05676
      748   0.06088
      749   0.04136
      750   0.06370
      751   0.06423
      752   0.03964
      753   0.02983
      754   0.01833
      755   0.02719
      756   0.03281
      757   0.04632
      758   0.03557
      759   0.04171
      760   0.02776
      761  -0.01008
      762   0.03671
      763   0.05965
      764   0.07091
      765   0.08480
      766   0.06984
      767   0.06542
      768   0.05766
      769   0.03857
      770   0.00726
      771   0.01299
      772   0.01692
      773   0.01269
      774   0.03429
      775   0.04276
      776   0.06221
      777   0.05949
      778   0.04966
      779   0.09746
      780   0.06305
      781   0.05049
      782   0.05260
      783   0.05878
      784   0.06215
      785   0.07384
      786   0.08063
      787   0.07962
      788   0.05208
      789   0.06669
      790   0.07279
      791   0.05647
      792   0.06587
      793   0.07391
      794   0.07464
      795   0.06833
      796   0.09040
      797   0.07919
      798   0.07424
      799   0.07607
      800   0.09885
      801   0.11875
      802   0.11283
      803   0.11285
      804   0.13214
      805   0.12520
      806   0.13153
      807   0.13196
