#      x         y     xt     yt     yu
  533.58  0.441634   0.00   0.00   0.00
  639.15  0.546024   0.00   0.00   0.00
  728.99  0.888758   0.00   0.00   0.00
  766.03  0.284447   0.00   0.00   0.00
  851.88  0.503495   0.00   0.00   0.00
  914.93  0.439400   0.00   0.00   0.00
 1009.17  0.576535   0.00   0.00   0.00
 1173.93  0.712131   0.00   0.00   0.00
 1220.58  0.784801   0.00   0.00   0.00
 1253.10  1.498798   0.00   0.00   0.00
 1308.84  4.859572   0.00   0.00   0.00
 1337.70 10.738215   0.00   0.00   0.00
 1357.83  2.628322   5.00   0.50   0.20
 1377.99  2.300789   8.00   0.50   0.00
 1425.42  1.563651   0.00   0.00   0.00
 1453.61  0.792990   0.00   0.00   0.00
 1483.58  7.639408   0.00   0.00   0.00
 1508.94  3.649434   0.00   0.00   0.00
 1581.55  4.015804   0.00   0.00   0.00
 1604.46  1.263837   0.00   0.00   0.00
 1627.02  0.347087   2.00   0.20   0.00
 1645.99  0.233562   6.00   0.20   0.00
