#      x         y     xt     yt     yu
  666.90  0.148410   0.00   0.00   0.00
  749.89  0.269984   0.00   0.00   0.00
  787.99  0.640882   0.00   0.00   0.00
  964.53  0.101420   0.00   0.00   0.00
 1023.91  0.099718   0.00   0.00   0.00
 1143.79  0.068034   0.00   0.00   0.00
 1186.28  0.628909  -3.00   0.00   0.00
 1206.03  0.482645   3.00   0.00   0.00
 1246.58  1.345814   0.00   0.00   0.00
 1280.39  0.369105   0.00   0.00   0.00
 1377.10  2.175700   0.00   0.00   0.00
 1419.45  0.473511   0.00   0.00   0.00
 1484.45  0.538877   0.00   0.00   0.00
 1651.86  1.883411  -8.00   0.20   0.00
 1665.85  1.626142   2.00   0.00   0.00
 1690.20  0.658132   2.00   0.00   0.00
