#      x         y     xt     yt     yu
  728.23  0.800581  -5.00   0.20   0.00
  746.61  0.307856   5.00   0.20   0.00
  783.78  0.615399   0.00   0.00   0.00
  823.31  0.172837   0.00   0.00   0.00
  908.81  0.225238   0.00   0.00   0.00
  960.51  0.270952   0.00   0.00   0.00
 1011.34  0.306791   0.00   0.00   0.00
 1121.08  0.165882 -15.00   0.50   0.00
 1138.97  0.206529 -10.00   0.50   0.00
 1165.35  0.732794 -12.00   0.50   0.00
 1179.79  0.973452   0.00   0.50   0.00
 1204.57  1.000703   0.00   0.50   0.00
 1242.00  1.837706 -10.00   0.50   0.00
 1253.42  1.968198  10.00   0.50   0.00
 1304.72  4.192927   0.00   0.00   0.00
 1336.35  7.092730   0.00   0.00   0.00
 1375.32  3.539428   0.00   0.00   0.00
 1420.65  1.907686   0.00   0.00   0.00
 1450.43  0.978566   0.00   0.00   0.00
 1480.61  5.336047   0.00   0.00   0.00
 1505.79  2.989808   0.00   0.00   0.00
 1578.73  3.371135   0.00   0.00   0.00
 1601.02  1.384325   0.00   0.00   0.00
 1650.25  2.085223 -10.00   0.50   0.00
 1669.14  1.264294  -3.00   0.50   0.00
 1687.25  0.807083   3.00   0.50   0.00
 1705.77  0.428959  10.00   0.50   0.00
