#      x         y     xt     yt     yu
  668.42  0.616965  -3.00   0.00   0.00
  689.95  0.669776   3.00   0.00   0.00
  823.39  0.411879   0.00   0.00   0.00
  869.88  0.506013   0.00   0.00   0.00
 1023.79  0.676678  -5.00   0.40   0.00
 1042.52  0.586566   5.00   0.40   0.00
 1084.11  0.735774   0.00   0.00   0.00
 1113.69  0.570977   0.00   0.00   0.00
 1178.46  0.464767   0.00   0.00   0.00
 1203.11  0.333584   0.00   0.00   0.00
 1238.74  0.278242   0.00   0.00   0.00
 1320.60  5.765108  -7.00   0.50   0.00
 1334.69  4.265631   7.00   0.50   0.00
 1367.24  4.083661   0.00   0.00   0.00
 1395.23  1.072364  -5.00   0.40   0.00
 1413.69  1.226895   5.00   0.40   0.00
 1487.55 18.795067   0.00   0.00   0.00
 1538.37  2.238547   0.00   0.00   0.00
 1576.39  8.375150   0.00   0.00   0.00
 1602.49  6.497126   0.00   0.00   0.00
 1641.69  1.514264   0.00   0.00   0.00
 1682.26  1.248175   0.00   0.00   0.00
