#      x         y     xt     yt     yu
  667.57  0.337754  -5.00   0.40   0.00
  688.64  0.161050   5.00   0.40   0.00
 1021.88  0.441892  -3.00   0.20   0.00
 1043.15  0.247922   3.00   0.20   0.00
 1082.08  0.288954   0.00   0.00   0.00
 1113.09  0.353187   0.00   0.00   0.00
 1176.54  0.292382   0.00   0.00   0.00
 1204.32  0.172985   0.00   0.00   0.00
 1235.29  0.160875   0.00   0.00   0.00
 1319.22  3.310661 -15.00   1.10   0.00
 1330.72  2.636171   0.00   1.10   0.00
 1359.70  2.094998   0.00   1.30   0.00
 1367.25  1.850231  18.00   1.10   0.00
 1409.81  0.634666   0.00   0.00   0.00
 1483.80  9.443086   0.00   0.00   0.00
 1536.59  1.298023   0.00   0.00   0.00
 1575.44  4.910712  -9.00   0.70   0.00
 1598.01  3.885958  -7.00   0.90   0.00
 1607.41  2.959517   8.00   0.60   0.40
 1645.20  0.766378   0.00   0.00   0.00
 1683.53  0.635056   0.00   0.00   0.00
 1723.06  0.205978  -5.00   0.40   0.00
