#      x         y     xt     yt     yu
  670.83  0.411585  -7.00   0.60   0.00
  692.19  0.261512   0.00   0.00   0.00
  717.84  0.183074   0.00   0.00   0.00
  772.07  0.385009 -15.00   1.10   0.00
  782.74  0.681603   0.00   1.10   0.00
  803.01  0.238749   5.00   1.10   0.00
  827.52  0.209546   5.00   1.10   0.00
 1021.94  0.403637   0.00   0.00   0.00
 1051.41  0.140988   0.00   0.00   0.00
 1079.01  0.280001   0.00   0.00   0.00
 1120.48  0.332828   0.00   0.00   0.00
 1181.28  0.196222 -20.00   1.20   0.00
 1194.93  0.171168 -10.00   1.20   0.00
 1208.09  0.158277   0.00   1.20   0.00
 1235.47  0.291024   0.00   1.20   0.00
 1252.75  0.273823   8.00   1.20   0.00
 1293.69  0.674271  -3.00   0.00   0.00
 1313.29  2.151146  -5.00   1.20   0.00
 1322.66  2.509866  10.00   1.20   0.00
 1360.99  1.606353   0.00   1.20   0.00
 1371.24  1.407004  14.00   1.20   0.00
 1386.55  0.824454  23.00   1.20   0.00
 1409.33  0.685421  25.00   1.20   0.00
 1482.95  6.998033   0.00   0.00   0.00
 1528.62  2.756662  -8.00   0.60   0.00
 1539.46  1.972049   8.00   0.60   0.00
 1575.34  3.414457  -5.00   0.40   0.00
 1602.50  2.199744  -8.00   0.60   0.00
 1616.92  1.894021   3.00   0.10   0.00
 1642.96  1.226659   3.00   0.10   0.00
 1692.71  0.440259   0.00   0.00   0.00
 1724.23  0.218213  -5.00   0.40   0.00
