#      x         y     xt     yt     yu
  626.85  0.139024   0.00   0.00   0.00
  784.80  0.414578   0.00   0.00   0.00
  986.01  0.097849   0.00   0.00   0.00
 1078.51  0.112900   0.00   0.00   0.00
 1137.50  0.194073   0.00   0.00   0.00
 1193.16  0.142690   0.00   0.00   0.00
 1252.21  0.252587   0.00   0.00   0.00
 1293.93  0.479797   0.00   0.00   0.00
 1406.55  0.319299   0.00   0.00   0.00
 1467.40  0.303431   0.00   0.00   0.00
 1502.87  0.671769   0.00   0.00   0.00
 1527.45  3.171560   0.00   0.00   0.00
 1571.65  0.324504   0.00   0.00   0.00
 1607.67  0.421616   0.00   0.00   0.00
 1651.08  1.031784   0.00   0.00   0.00
