# nu(cm-1)        I
     525.0  0.69269
     525.5  0.69263
     526.0  0.69256
     526.5  0.69249
     527.0  0.69243
     527.5  0.69236
     528.0  0.69230
     528.5  0.69223
     529.0  0.69217
     529.5  0.69210
     530.0  0.69204
     530.5  0.69198
     531.0  0.69192
     531.5  0.69185
     532.0  0.69179
     532.5  0.69173
     533.0  0.69167
     533.5  0.69161
     534.0  0.69155
     534.5  0.69149
     535.0  0.69143
     535.5  0.69137
     536.0  0.69131
     536.5  0.69125
     537.0  0.69120
     537.5  0.69114
     538.0  0.69108
     538.5  0.69103
     539.0  0.69097
     539.5  0.69092
     540.0  0.69087
     540.5  0.69081
     541.0  0.69076
     541.5  0.69071
     542.0  0.69066
     542.5  0.69061
     543.0  0.69056
     543.5  0.69051
     544.0  0.69046
     544.5  0.69042
     545.0  0.69037
     545.5  0.69033
     546.0  0.69028
     546.5  0.69024
     547.0  0.69020
     547.5  0.69016
     548.0  0.69012
     548.5  0.69008
     549.0  0.69004
     549.5  0.69000
     550.0  0.68997
     550.5  0.68993
     551.0  0.68990
     551.5  0.68987
     552.0  0.68984
     552.5  0.68981
     553.0  0.68978
     553.5  0.68976
     554.0  0.68973
     554.5  0.68971
     555.0  0.68969
     555.5  0.68967
     556.0  0.68965
     556.5  0.68964
     557.0  0.68963
     557.5  0.68961
     558.0  0.68961
     558.5  0.68960
     559.0  0.68959
     559.5  0.68959
     560.0  0.68959
     560.5  0.68959
     561.0  0.68960
     561.5  0.68961
     562.0  0.68962
     562.5  0.68963
     563.0  0.68965
     563.5  0.68967
     564.0  0.68969
     564.5  0.68972
     565.0  0.68975
     565.5  0.68979
     566.0  0.68983
     566.5  0.68987
     567.0  0.68992
     567.5  0.68997
     568.0  0.69003
     568.5  0.69009
     569.0  0.69016
     569.5  0.69024
     570.0  0.69032
     570.5  0.69040
     571.0  0.69049
     571.5  0.69059
     572.0  0.69070
     572.5  0.69082
     573.0  0.69094
     573.5  0.69107
     574.0  0.69121
     574.5  0.69136
     575.0  0.69152
     575.5  0.69169
     576.0  0.69187
     576.5  0.69207
     577.0  0.69227
     577.5  0.69249
     578.0  0.69273
     578.5  0.69298
     579.0  0.69324
     579.5  0.69353
     580.0  0.69383
     580.5  0.69416
     581.0  0.69450
     581.5  0.69488
     582.0  0.69528
     582.5  0.69571
