# nu(cm-1)        I    I_pol
     525.0  0.69248  0.69117
     525.5  0.69241  0.69108
     526.0  0.69234  0.69100
     526.5  0.69227  0.69091
     527.0  0.69221  0.69083
     527.5  0.69214  0.69074
     528.0  0.69207  0.69066
     528.5  0.69201  0.69057
     529.0  0.69194  0.69049
     529.5  0.69187  0.69040
     530.0  0.69181  0.69032
     530.5  0.69174  0.69023
     531.0  0.69168  0.69015
     531.5  0.69161  0.69007
     532.0  0.69155  0.68998
     532.5  0.69148  0.68990
     533.0  0.69142  0.68981
     533.5  0.69136  0.68973
     534.0  0.69129  0.68964
     534.5  0.69123  0.68956
     535.0  0.69117  0.68947
     535.5  0.69111  0.68939
     536.0  0.69105  0.68930
     536.5  0.69099  0.68922
     537.0  0.69093  0.68913
     537.5  0.69087  0.68905
     538.0  0.69081  0.68896
     538.5  0.69075  0.68888
     539.0  0.69070  0.68879
     539.5  0.69064  0.68871
     540.0  0.69058  0.68863
     540.5  0.69053  0.68854
     541.0  0.69047  0.68846
     541.5  0.69042  0.68837
     542.0  0.69036  0.68829
     542.5  0.69031  0.68820
     543.0  0.69026  0.68812
     543.5  0.69021  0.68803
     544.0  0.69016  0.68795
     544.5  0.69011  0.68786
     545.0  0.69006  0.68778
     545.5  0.69001  0.68769
     546.0  0.68996  0.68761
     546.5  0.68992  0.68752
     547.0  0.68987  0.68744
     547.5  0.68983  0.68736
     548.0  0.68978  0.68727
     548.5  0.68974  0.68719
     549.0  0.68970  0.68710
     549.5  0.68966  0.68702
     550.0  0.68962  0.68693
     550.5  0.68958  0.68685
     551.0  0.68954  0.68676
     551.5  0.68951  0.68668
     552.0  0.68947  0.68659
     552.5  0.68944  0.68651
     553.0  0.68941  0.68642
     553.5  0.68938  0.68634
     554.0  0.68935  0.68625
     554.5  0.68932  0.68617
     555.0  0.68930  0.68609
     555.5  0.68928  0.68600
     556.0  0.68925  0.68592
     556.5  0.68923  0.68583
     557.0  0.68921  0.68575
     557.5  0.68920  0.68566
     558.0  0.68918  0.68558
     558.5  0.68917  0.68549
     559.0  0.68916  0.68541
     559.5  0.68915  0.68532
     560.0  0.68915  0.68524
     560.5  0.68915  0.68515
     561.0  0.68915  0.68507
     561.5  0.68915  0.68498
     562.0  0.68915  0.68490
     562.5  0.68916  0.68482
     563.0  0.68917  0.68473
     563.5  0.68919  0.68465
     564.0  0.68921  0.68456
     564.5  0.68923  0.68448
     565.0  0.68925  0.68439
     565.5  0.68928  0.68431
     566.0  0.68931  0.68422
     566.5  0.68935  0.68414
     567.0  0.68939  0.68405
     567.5  0.68944  0.68397
     568.0  0.68949  0.68388
     568.5  0.68954  0.68380
     569.0  0.68960  0.68371
     569.5  0.68967  0.68363
     570.0  0.68974  0.68355
     570.5  0.68982  0.68346
     571.0  0.68990  0.68338
     571.5  0.68999  0.68329
     572.0  0.69009  0.68321
     572.5  0.69020  0.68312
     573.0  0.69031  0.68304
     573.5  0.69043  0.68295
     574.0  0.69056  0.68287
     574.5  0.69070  0.68278
     575.0  0.69085  0.68270
     575.5  0.69101  0.68261
     576.0  0.69119  0.68253
     576.5  0.69137  0.68244
     577.0  0.69156  0.68236
     577.5  0.69177  0.68227
     578.0  0.69200  0.68219
     578.5  0.69223  0.68211
     579.0  0.69249  0.68202
     579.5  0.69276  0.68194
     580.0  0.69305  0.68185
     580.5  0.69336  0.68177
     581.0  0.69370  0.68168
     581.5  0.69406  0.68160
     582.0  0.69444  0.68151
     582.5  0.69486  0.68143
     583.0  0.69531  0.68134
     583.5  0.69580  0.68126
     584.0  0.69632  0.68117
     584.5  0.69690  0.68109
     585.0  0.69753  0.68100
     585.5  0.69822  0.68092
     586.0  0.69898  0.68084
     586.5  0.69983  0.68075
     587.0  0.70076  0.68067
     587.5  0.70180  0.68058
     588.0  0.70296  0.68050
     588.5  0.70427  0.68041
     589.0  0.70573  0.68033
     589.5  0.70738  0.68024
     590.0  0.70924  0.68016
     590.5  0.71134  0.68007
     591.0  0.71371  0.67999
     591.5  0.71639  0.67990
     592.0  0.71941  0.67982
     592.5  0.72280  0.67973
     593.0  0.72662  0.67965
     593.5  0.73089  0.67957
     594.0  0.73567  0.67948
     594.5  0.74099  0.67940
     595.0  0.74689  0.67931
     595.5  0.75342  0.67923
     596.0  0.76059  0.67914
     596.5  0.76844  0.67906
     597.0  0.77699  0.67897
     597.5  0.78625  0.67889
     598.0  0.79623  0.67880
     598.5  0.80692  0.67872
     599.0  0.81829  0.67863
     599.5  0.83031  0.67855
     600.0  0.84293  0.67846
     600.5  0.85608  0.67838
     601.0  0.86966  0.67830
     601.5  0.88356  0.67821
     602.0  0.89764  0.67813
     602.5  0.91173  0.67804
     603.0  0.92564  0.67796
     603.5  0.93912  0.67787
     604.0  0.95191  0.67779
     604.5  0.96374  0.67770
     605.0  0.97429  0.67762
     605.5  0.98327  0.67753
     606.0  0.99038  0.67745
     606.5  0.99538  0.67736
     607.0  0.99808  0.67728
     607.5  0.99838  0.67719
     608.0  0.99625  0.67711
     608.5  0.99179  0.67703
     609.0  0.98514  0.67694
     609.5  0.97655  0.67686
     610.0  0.96629  0.67677
     610.5  0.95466  0.67669
