# nu(cm-1)        I
     525.0  0.69138
     525.5  0.69130
     526.0  0.69121
     526.5  0.69113
     527.0  0.69105
     527.5  0.69097
     528.0  0.69088
     528.5  0.69080
     529.0  0.69072
     529.5  0.69064
     530.0  0.69055
     530.5  0.69047
     531.0  0.69039
     531.5  0.69031
     532.0  0.69022
     532.5  0.69014
     533.0  0.69006
     533.5  0.68998
     534.0  0.68989
     534.5  0.68981
     535.0  0.68973
     535.5  0.68965
     536.0  0.68957
     536.5  0.68948
     537.0  0.68940
     537.5  0.68932
     538.0  0.68924
     538.5  0.68915
     539.0  0.68907
     539.5  0.68899
     540.0  0.68891
     540.5  0.68883
     541.0  0.68875
     541.5  0.68866
     542.0  0.68858
     542.5  0.68850
     543.0  0.68842
     543.5  0.68834
     544.0  0.68826
     544.5  0.68817
     545.0  0.68809
     545.5  0.68801
     546.0  0.68793
     546.5  0.68785
     547.0  0.68777
     547.5  0.68769
     548.0  0.68761
     548.5  0.68752
     549.0  0.68744
     549.5  0.68736
     550.0  0.68728
     550.5  0.68720
     551.0  0.68712
     551.5  0.68704
     552.0  0.68696
     552.5  0.68688
     553.0  0.68680
     553.5  0.68672
     554.0  0.68664
     554.5  0.68656
     555.0  0.68648
     555.5  0.68640
     556.0  0.68632
     556.5  0.68624
     557.0  0.68616
     557.5  0.68608
     558.0  0.68600
     558.5  0.68592
     559.0  0.68584
     559.5  0.68576
     560.0  0.68568
     560.5  0.68560
     561.0  0.68552
     561.5  0.68544
     562.0  0.68536
     562.5  0.68529
     563.0  0.68521
     563.5  0.68513
     564.0  0.68505
     564.5  0.68497
     565.0  0.68489
     565.5  0.68482
     566.0  0.68474
     566.5  0.68466
     567.0  0.68458
     567.5  0.68451
     568.0  0.68443
     568.5  0.68435
     569.0  0.68427
     569.5  0.68420
     570.0  0.68412
     570.5  0.68404
     571.0  0.68397
     571.5  0.68389
     572.0  0.68382
     572.5  0.68374
     573.0  0.68366
     573.5  0.68359
     574.0  0.68351
     574.5  0.68344
     575.0  0.68336
     575.5  0.68329
     576.0  0.68322
     576.5  0.68314
     577.0  0.68307
     577.5  0.68299
     578.0  0.68292
     578.5  0.68285
     579.0  0.68278
     579.5  0.68270
     580.0  0.68263
     580.5  0.68256
     581.0  0.68249
     581.5  0.68242
     582.0  0.68235
     582.5  0.68228
     583.0  0.68221
     583.5  0.68214
     584.0  0.68207
     584.5  0.68200
     585.0  0.68193
     585.5  0.68186
     586.0  0.68179
     586.5  0.68173
     587.0  0.68166
     587.5  0.68159
     588.0  0.68153
     588.5  0.68146
     589.0  0.68140
     589.5  0.68134
     590.0  0.68127
     590.5  0.68121
     591.0  0.68115
     591.5  0.68109
     592.0  0.68103
     592.5  0.68097
     593.0  0.68091
     593.5  0.68085
     594.0  0.68079
     594.5  0.68074
     595.0  0.68068
     595.5  0.68063
     596.0  0.68057
     596.5  0.68052
     597.0  0.68047
     597.5  0.68042
     598.0  0.68037
     598.5  0.68032
     599.0  0.68027
     599.5  0.68023
     600.0  0.68018
     600.5  0.68014
     601.0  0.68010
     601.5  0.68006
     602.0  0.68002
     602.5  0.67999
     603.0  0.67995
     603.5  0.67992
     604.0  0.67989
     604.5  0.67986
     605.0  0.67984
     605.5  0.67981
     606.0  0.67979
     606.5  0.67977
     607.0  0.67976
     607.5  0.67975
     608.0  0.67974
     608.5  0.67973
     609.0  0.67973
     609.5  0.67973
     610.0  0.67974
     610.5  0.67975
     611.0  0.67977
     611.5  0.67979
     612.0  0.67982
     612.5  0.67986
     613.0  0.67990
     613.5  0.67995
     614.0  0.68001
     614.5  0.68008
     615.0  0.68017
     615.5  0.68026
     616.0  0.68037
     616.5  0.68050
     617.0  0.68064
     617.5  0.68081
     618.0  0.68100
     618.5  0.68122
     619.0  0.68147
     619.5  0.68176
     620.0  0.68208
     620.5  0.68245
     621.0  0.68286
     621.5  0.68334
     622.0  0.68387
     622.5  0.68447
     623.0  0.68514
     623.5  0.68590
     624.0  0.68674
     624.5  0.68768
     625.0  0.68872
     625.5  0.68987
     626.0  0.69114
     626.5  0.69252
     627.0  0.69404
     627.5  0.69569
     628.0  0.69748
     628.5  0.69940
     629.0  0.70147
     629.5  0.70368
     630.0  0.70602
     630.5  0.70850
     631.0  0.71111
     631.5  0.71383
     632.0  0.71666
     632.5  0.71957
     633.0  0.72256
     633.5  0.72560
     634.0  0.72866
     634.5  0.73171
     635.0  0.73471
     635.5  0.73763
     636.0  0.74041
     636.5  0.74301
     637.0  0.74537
     637.5  0.74744
     638.0  0.74917
     638.5  0.75051
     639.0  0.75143
     639.5  0.75188
     640.0  0.75187
     640.5  0.75137
     641.0  0.75041
     641.5  0.74902
     642.0  0.74722
     642.5  0.74507
     643.0  0.74262
     643.5  0.73991
     644.0  0.73701
     644.5  0.73396
     645.0  0.73080
     645.5  0.72759
     646.0  0.72437
     646.5  0.72115
     647.0  0.71797
     647.5  0.71487
     648.0  0.71184
     648.5  0.70892
     649.0  0.70611
     649.5  0.70343
     650.0  0.70087
     650.5  0.69846
     651.0  0.69618
     651.5  0.69405
     652.0  0.69205
     652.5  0.69020
     653.0  0.68847
     653.5  0.68688
     654.0  0.68541
     654.5  0.68406
     655.0  0.68282
     655.5  0.68168
     656.0  0.68064
     656.5  0.67970
     657.0  0.67883
     657.5  0.67804
     658.0  0.67732
     658.5  0.67666
     659.0  0.67606
     659.5  0.67551
     660.0  0.67501
     660.5  0.67454
     661.0  0.67411
     661.5  0.67372
     662.0  0.67335
     662.5  0.67301
     663.0  0.67269
     663.5  0.67238
     664.0  0.67210
     664.5  0.67183
     665.0  0.67158
     665.5  0.67133
     666.0  0.67110
     666.5  0.67088
     667.0  0.67066
     667.5  0.67046
     668.0  0.67026
     668.5  0.67006
     669.0  0.66987
     669.5  0.66969
     670.0  0.66951
     670.5  0.66934
     671.0  0.66917
     671.5  0.66901
     672.0  0.66885
     672.5  0.66869
     673.0  0.66853
     673.5  0.66838
     674.0  0.66823
     674.5  0.66808
     675.0  0.66794
     675.5  0.66780
     676.0  0.66766
     676.5  0.66752
     677.0  0.66738
     677.5  0.66725
     678.0  0.66712
     678.5  0.66699
     679.0  0.66686
     679.5  0.66673
     680.0  0.66661
     680.5  0.66648
     681.0  0.66636
     681.5  0.66624
     682.0  0.66612
     682.5  0.66600
     683.0  0.66588
     683.5  0.66576
     684.0  0.66565
     684.5  0.66553
     685.0  0.66542
     685.5  0.66530
     686.0  0.66519
     686.5  0.66508
     687.0  0.66497
     687.5  0.66486
     688.0  0.66475
     688.5  0.66464
     689.0  0.66454
     689.5  0.66443
     690.0  0.66432
     690.5  0.66422
     691.0  0.66411
     691.5  0.66401
     692.0  0.66390
     692.5  0.66380
     693.0  0.66370
     693.5  0.66359
     694.0  0.66349
     694.5  0.66339
     695.0  0.66329
     695.5  0.66319
     696.0  0.66309
     696.5  0.66299
     697.0  0.66289
     697.5  0.66279
     698.0  0.66269
     698.5  0.66259
     699.0  0.66250
     699.5  0.66240
     700.0  0.66230
     700.5  0.66220
     701.0  0.66211
     701.5  0.66201
     702.0  0.66191
     702.5  0.66182
     703.0  0.66172
     703.5  0.66163
     704.0  0.66153
     704.5  0.66144
     705.0  0.66134
     705.5  0.66125
     706.0  0.66115
     706.5  0.66106
     707.0  0.66097
     707.5  0.66087
     708.0  0.66078
     708.5  0.66068
     709.0  0.66059
     709.5  0.66050
     710.0  0.66041
     710.5  0.66031
     711.0  0.66022
     711.5  0.66013
     712.0  0.66004
     712.5  0.65994
     713.0  0.65985
     713.5  0.65976
     714.0  0.65967
     714.5  0.65958
     715.0  0.65949
     715.5  0.65940
     716.0  0.65930
     716.5  0.65921
     717.0  0.65912
     717.5  0.65903
     718.0  0.65894
     718.5  0.65885
     719.0  0.65876
     719.5  0.65867
     720.0  0.65858
     720.5  0.65849
     721.0  0.65840
     721.5  0.65831
     722.0  0.65822
     722.5  0.65813
     723.0  0.65804
     723.5  0.65795
     724.0  0.65786
     724.5  0.65777
     725.0  0.65768
     725.5  0.65760
     726.0  0.65751
     726.5  0.65742
     727.0  0.65733
     727.5  0.65724
     728.0  0.65715
     728.5  0.65706
     729.0  0.65697
     729.5  0.65688
     730.0  0.65680
