# nu(cm-1)        I
    1100.0  0.56281
    1100.5  0.56280
    1101.0  0.56279
    1101.5  0.56278
    1102.0  0.56277
    1102.5  0.56275
    1103.0  0.56274
    1103.5  0.56273
    1104.0  0.56272
    1104.5  0.56271
    1105.0  0.56270
    1105.5  0.56269
    1106.0  0.56268
    1106.5  0.56267
    1107.0  0.56266
    1107.5  0.56265
    1108.0  0.56264
    1108.5  0.56263
    1109.0  0.56262
    1109.5  0.56261
    1110.0  0.56260
    1110.5  0.56259
    1111.0  0.56258
    1111.5  0.56257
    1112.0  0.56256
    1112.5  0.56255
    1113.0  0.56254
    1113.5  0.56253
    1114.0  0.56251
    1114.5  0.56250
    1115.0  0.56249
    1115.5  0.56248
    1116.0  0.56247
    1116.5  0.56246
    1117.0  0.56245
    1117.5  0.56244
    1118.0  0.56243
    1118.5  0.56242
    1119.0  0.56241
    1119.5  0.56240
    1120.0  0.56239
    1120.5  0.56238
    1121.0  0.56237
    1121.5  0.56236
    1122.0  0.56235
    1122.5  0.56234
    1123.0  0.56233
    1123.5  0.56232
    1124.0  0.56231
    1124.5  0.56230
    1125.0  0.56229
    1125.5  0.56228
    1126.0  0.56227
    1126.5  0.56226
    1127.0  0.56225
    1127.5  0.56224
    1128.0  0.56223
    1128.5  0.56222
    1129.0  0.56221
    1129.5  0.56220
    1130.0  0.56219
    1130.5  0.56218
    1131.0  0.56217
    1131.5  0.56216
    1132.0  0.56215
    1132.5  0.56214
    1133.0  0.56213
    1133.5  0.56212
    1134.0  0.56211
    1134.5  0.56210
    1135.0  0.56209
    1135.5  0.56208
    1136.0  0.56207
    1136.5  0.56206
    1137.0  0.56205
    1137.5  0.56204
    1138.0  0.56203
    1138.5  0.56202
    1139.0  0.56201
    1139.5  0.56200
    1140.0  0.56199
    1140.5  0.56198
    1141.0  0.56197
    1141.5  0.56196
    1142.0  0.56195
    1142.5  0.56194
    1143.0  0.56193
    1143.5  0.56192
    1144.0  0.56191
    1144.5  0.56190
    1145.0  0.56189
    1145.5  0.56188
    1146.0  0.56187
    1146.5  0.56186
    1147.0  0.56185
    1147.5  0.56184
    1148.0  0.56183
    1148.5  0.56182
    1149.0  0.56181
    1149.5  0.56180
    1150.0  0.56179
    1150.5  0.56178
    1151.0  0.56177
    1151.5  0.56176
    1152.0  0.56175
    1152.5  0.56174
    1153.0  0.56174
    1153.5  0.56173
    1154.0  0.56172
    1154.5  0.56171
    1155.0  0.56170
    1155.5  0.56169
    1156.0  0.56168
    1156.5  0.56167
    1157.0  0.56166
    1157.5  0.56165
    1158.0  0.56164
    1158.5  0.56163
    1159.0  0.56162
    1159.5  0.56161
    1160.0  0.56160
    1160.5  0.56160
    1161.0  0.56159
    1161.5  0.56158
    1162.0  0.56157
    1162.5  0.56156
    1163.0  0.56155
    1163.5  0.56154
    1164.0  0.56153
    1164.5  0.56152
    1165.0  0.56151
    1165.5  0.56151
    1166.0  0.56150
    1166.5  0.56149
    1167.0  0.56148
    1167.5  0.56147
    1168.0  0.56146
    1168.5  0.56145
    1169.0  0.56144
    1169.5  0.56143
    1170.0  0.56143
    1170.5  0.56142
    1171.0  0.56141
    1171.5  0.56140
    1172.0  0.56139
    1172.5  0.56138
    1173.0  0.56138
    1173.5  0.56137
    1174.0  0.56136
    1174.5  0.56135
    1175.0  0.56134
    1175.5  0.56133
    1176.0  0.56133
    1176.5  0.56132
    1177.0  0.56131
    1177.5  0.56130
    1178.0  0.56129
    1178.5  0.56129
    1179.0  0.56128
    1179.5  0.56127
    1180.0  0.56126
    1180.5  0.56125
    1181.0  0.56125
    1181.5  0.56124
    1182.0  0.56123
    1182.5  0.56122
    1183.0  0.56122
    1183.5  0.56121
    1184.0  0.56120
    1184.5  0.56119
    1185.0  0.56119
    1185.5  0.56118
    1186.0  0.56117
    1186.5  0.56117
    1187.0  0.56116
    1187.5  0.56115
    1188.0  0.56114
    1188.5  0.56114
    1189.0  0.56113
    1189.5  0.56112
    1190.0  0.56112
    1190.5  0.56111
    1191.0  0.56111
    1191.5  0.56110
    1192.0  0.56109
    1192.5  0.56109
    1193.0  0.56108
    1193.5  0.56107
    1194.0  0.56107
    1194.5  0.56106
    1195.0  0.56106
    1195.5  0.56105
    1196.0  0.56105
    1196.5  0.56104
    1197.0  0.56104
    1197.5  0.56103
    1198.0  0.56102
    1198.5  0.56102
