# nu(cm-1)        I
    1100.0  0.56335
    1100.5  0.56335
    1101.0  0.56334
    1101.5  0.56333
    1102.0  0.56333
    1102.5  0.56332
    1103.0  0.56332
    1103.5  0.56331
    1104.0  0.56330
    1104.5  0.56330
    1105.0  0.56329
    1105.5  0.56329
    1106.0  0.56328
    1106.5  0.56327
    1107.0  0.56327
    1107.5  0.56326
    1108.0  0.56326
    1108.5  0.56325
    1109.0  0.56325
    1109.5  0.56324
    1110.0  0.56323
    1110.5  0.56323
    1111.0  0.56322
    1111.5  0.56322
    1112.0  0.56321
    1112.5  0.56321
    1113.0  0.56320
    1113.5  0.56320
    1114.0  0.56319
    1114.5  0.56319
    1115.0  0.56318
    1115.5  0.56318
    1116.0  0.56318
    1116.5  0.56317
    1117.0  0.56317
    1117.5  0.56316
    1118.0  0.56316
    1118.5  0.56315
    1119.0  0.56315
    1119.5  0.56315
    1120.0  0.56314
    1120.5  0.56314
    1121.0  0.56314
    1121.5  0.56313
    1122.0  0.56313
    1122.5  0.56313
    1123.0  0.56312
    1123.5  0.56312
    1124.0  0.56312
    1124.5  0.56311
    1125.0  0.56311
    1125.5  0.56311
    1126.0  0.56311
    1126.5  0.56310
    1127.0  0.56310
    1127.5  0.56310
    1128.0  0.56310
    1128.5  0.56309
    1129.0  0.56309
    1129.5  0.56309
    1130.0  0.56309
    1130.5  0.56309
    1131.0  0.56309
    1131.5  0.56308
    1132.0  0.56308
    1132.5  0.56308
    1133.0  0.56308
    1133.5  0.56308
    1134.0  0.56308
    1134.5  0.56308
    1135.0  0.56308
    1135.5  0.56308
    1136.0  0.56308
    1136.5  0.56308
    1137.0  0.56308
    1137.5  0.56308
    1138.0  0.56308
    1138.5  0.56308
    1139.0  0.56309
    1139.5  0.56309
    1140.0  0.56309
    1140.5  0.56309
    1141.0  0.56309
    1141.5  0.56309
    1142.0  0.56310
    1142.5  0.56310
    1143.0  0.56310
    1143.5  0.56311
    1144.0  0.56311
    1144.5  0.56311
    1145.0  0.56312
    1145.5  0.56312
    1146.0  0.56312
    1146.5  0.56313
    1147.0  0.56313
    1147.5  0.56314
    1148.0  0.56314
    1148.5  0.56315
    1149.0  0.56315
    1149.5  0.56316
    1150.0  0.56317
    1150.5  0.56317
    1151.0  0.56318
    1151.5  0.56319
    1152.0  0.56320
    1152.5  0.56320
    1153.0  0.56321
    1153.5  0.56322
    1154.0  0.56323
    1154.5  0.56324
    1155.0  0.56325
    1155.5  0.56326
    1156.0  0.56327
    1156.5  0.56328
    1157.0  0.56329
    1157.5  0.56330
    1158.0  0.56332
    1158.5  0.56333
    1159.0  0.56334
    1159.5  0.56336
    1160.0  0.56337
    1160.5  0.56338
    1161.0  0.56340
    1161.5  0.56341
    1162.0  0.56343
    1162.5  0.56345
    1163.0  0.56346
    1163.5  0.56348
    1164.0  0.56350
    1164.5  0.56352
    1165.0  0.56354
    1165.5  0.56356
    1166.0  0.56358
    1166.5  0.56360
    1167.0  0.56362
    1167.5  0.56365
    1168.0  0.56367
    1168.5  0.56370
    1169.0  0.56372
    1169.5  0.56375
    1170.0  0.56377
    1170.5  0.56380
    1171.0  0.56383
    1171.5  0.56386
    1172.0  0.56389
    1172.5  0.56392
    1173.0  0.56396
    1173.5  0.56399
    1174.0  0.56402
    1174.5  0.56406
    1175.0  0.56410
    1175.5  0.56413
    1176.0  0.56417
    1176.5  0.56421
    1177.0  0.56426
    1177.5  0.56430
    1178.0  0.56434
    1178.5  0.56439
    1179.0  0.56444
    1179.5  0.56449
    1180.0  0.56454
    1180.5  0.56459
    1181.0  0.56464
    1181.5  0.56470
    1182.0  0.56476
    1182.5  0.56482
    1183.0  0.56488
    1183.5  0.56494
    1184.0  0.56501
    1184.5  0.56508
    1185.0  0.56515
    1185.5  0.56522
    1186.0  0.56530
    1186.5  0.56537
    1187.0  0.56546
    1187.5  0.56554
    1188.0  0.56563
    1188.5  0.56571
    1189.0  0.56581
    1189.5  0.56590
    1190.0  0.56600
    1190.5  0.56611
    1191.0  0.56621
    1191.5  0.56632
    1192.0  0.56644
    1192.5  0.56656
    1193.0  0.56669
    1193.5  0.56681
    1194.0  0.56695
    1194.5  0.56709
    1195.0  0.56724
    1195.5  0.56739
    1196.0  0.56755
    1196.5  0.56771
    1197.0  0.56789
    1197.5  0.56807
    1198.0  0.56826
    1198.5  0.56846
    1199.0  0.56868
    1199.5  0.56890
    1200.0  0.56913
    1200.5  0.56938
    1201.0  0.56965
    1201.5  0.56993
    1202.0  0.57023
    1202.5  0.57055
    1203.0  0.57089
    1203.5  0.57126
    1204.0  0.57165
    1204.5  0.57208
    1205.0  0.57254
    1205.5  0.57303
    1206.0  0.57357
    1206.5  0.57415
    1207.0  0.57479
    1207.5  0.57547
    1208.0  0.57622
    1208.5  0.57704
    1209.0  0.57793
