# nu(cm-1)        I    I_pol
    1100.0  0.56326  0.56271
    1100.5  0.56325  0.56270
    1101.0  0.56324  0.56269
    1101.5  0.56324  0.56268
    1102.0  0.56323  0.56267
    1102.5  0.56322  0.56266
    1103.0  0.56322  0.56265
    1103.5  0.56321  0.56263
    1104.0  0.56320  0.56262
    1104.5  0.56320  0.56261
    1105.0  0.56319  0.56260
    1105.5  0.56318  0.56259
    1106.0  0.56318  0.56258
    1106.5  0.56317  0.56257
    1107.0  0.56316  0.56256
    1107.5  0.56316  0.56255
    1108.0  0.56315  0.56253
    1108.5  0.56315  0.56252
    1109.0  0.56314  0.56251
    1109.5  0.56313  0.56250
    1110.0  0.56313  0.56249
    1110.5  0.56312  0.56248
    1111.0  0.56312  0.56247
    1111.5  0.56311  0.56246
    1112.0  0.56310  0.56245
    1112.5  0.56310  0.56244
    1113.0  0.56309  0.56242
    1113.5  0.56309  0.56241
    1114.0  0.56308  0.56240
    1114.5  0.56308  0.56239
    1115.0  0.56307  0.56238
    1115.5  0.56307  0.56237
    1116.0  0.56306  0.56236
    1116.5  0.56306  0.56235
    1117.0  0.56305  0.56234
    1117.5  0.56305  0.56233
    1118.0  0.56304  0.56231
    1118.5  0.56304  0.56230
    1119.0  0.56303  0.56229
    1119.5  0.56303  0.56228
    1120.0  0.56302  0.56227
    1120.5  0.56302  0.56226
    1121.0  0.56301  0.56225
    1121.5  0.56301  0.56224
    1122.0  0.56300  0.56223
    1122.5  0.56300  0.56221
    1123.0  0.56300  0.56220
    1123.5  0.56299  0.56219
    1124.0  0.56299  0.56218
    1124.5  0.56298  0.56217
    1125.0  0.56298  0.56216
    1125.5  0.56298  0.56215
    1126.0  0.56297  0.56214
    1126.5  0.56297  0.56213
    1127.0  0.56297  0.56212
    1127.5  0.56296  0.56210
    1128.0  0.56296  0.56209
    1128.5  0.56296  0.56208
    1129.0  0.56296  0.56207
    1129.5  0.56295  0.56206
    1130.0  0.56295  0.56205
    1130.5  0.56295  0.56204
    1131.0  0.56295  0.56203
    1131.5  0.56294  0.56202
    1132.0  0.56294  0.56200
    1132.5  0.56294  0.56199
    1133.0  0.56294  0.56198
    1133.5  0.56294  0.56197
    1134.0  0.56293  0.56196
    1134.5  0.56293  0.56195
    1135.0  0.56293  0.56194
    1135.5  0.56293  0.56193
    1136.0  0.56293  0.56192
    1136.5  0.56293  0.56191
    1137.0  0.56293  0.56189
    1137.5  0.56293  0.56188
    1138.0  0.56293  0.56187
    1138.5  0.56293  0.56186
    1139.0  0.56293  0.56185
    1139.5  0.56293  0.56184
    1140.0  0.56293  0.56183
    1140.5  0.56293  0.56182
    1141.0  0.56293  0.56181
    1141.5  0.56293  0.56179
    1142.0  0.56293  0.56178
    1142.5  0.56293  0.56177
    1143.0  0.56294  0.56176
    1143.5  0.56294  0.56175
    1144.0  0.56294  0.56174
    1144.5  0.56294  0.56173
    1145.0  0.56294  0.56172
    1145.5  0.56295  0.56171
    1146.0  0.56295  0.56170
    1146.5  0.56295  0.56168
    1147.0  0.56296  0.56167
    1147.5  0.56296  0.56166
    1148.0  0.56296  0.56165
    1148.5  0.56297  0.56164
    1149.0  0.56297  0.56163
    1149.5  0.56298  0.56162
    1150.0  0.56298  0.56161
    1150.5  0.56299  0.56160
    1151.0  0.56299  0.56158
    1151.5  0.56300  0.56157
    1152.0  0.56300  0.56156
    1152.5  0.56301  0.56155
    1153.0  0.56302  0.56154
    1153.5  0.56302  0.56153
    1154.0  0.56303  0.56152
    1154.5  0.56304  0.56151
    1155.0  0.56305  0.56150
    1155.5  0.56306  0.56149
    1156.0  0.56307  0.56147
    1156.5  0.56307  0.56146
    1157.0  0.56308  0.56145
    1157.5  0.56309  0.56144
    1158.0  0.56310  0.56143
    1158.5  0.56312  0.56142
    1159.0  0.56313  0.56141
    1159.5  0.56314  0.56140
    1160.0  0.56315  0.56139
    1160.5  0.56316  0.56137
    1161.0  0.56318  0.56136
    1161.5  0.56319  0.56135
    1162.0  0.56320  0.56134
    1162.5  0.56322  0.56133
    1163.0  0.56323  0.56132
    1163.5  0.56325  0.56131
    1164.0  0.56327  0.56130
    1164.5  0.56328  0.56129
    1165.0  0.56330  0.56128
    1165.5  0.56332  0.56126
    1166.0  0.56334  0.56125
    1166.5  0.56336  0.56124
    1167.0  0.56338  0.56123
    1167.5  0.56340  0.56122
    1168.0  0.56342  0.56121
    1168.5  0.56344  0.56120
    1169.0  0.56346  0.56119
    1169.5  0.56349  0.56118
    1170.0  0.56351  0.56117
    1170.5  0.56354  0.56115
    1171.0  0.56356  0.56114
    1171.5  0.56359  0.56113
    1172.0  0.56362  0.56112
    1172.5  0.56365  0.56111
    1173.0  0.56368  0.56110
    1173.5  0.56371  0.56109
    1174.0  0.56374  0.56108
    1174.5  0.56378  0.56107
    1175.0  0.56381  0.56105
    1175.5  0.56384  0.56104
    1176.0  0.56388  0.56103
    1176.5  0.56392  0.56102
    1177.0  0.56396  0.56101
    1177.5  0.56400  0.56100
    1178.0  0.56404  0.56099
    1178.5  0.56408  0.56098
    1179.0  0.56413  0.56097
    1179.5  0.56417  0.56096
    1180.0  0.56422  0.56094
    1180.5  0.56427  0.56093
    1181.0  0.56432  0.56092
    1181.5  0.56437  0.56091
    1182.0  0.56443  0.56090
    1182.5  0.56448  0.56089
    1183.0  0.56454  0.56088
    1183.5  0.56460  0.56087
    1184.0  0.56466  0.56086
    1184.5  0.56473  0.56084
    1185.0  0.56480  0.56083
    1185.5  0.56486  0.56082
    1186.0  0.56494  0.56081
    1186.5  0.56501  0.56080
    1187.0  0.56509  0.56079
    1187.5  0.56517  0.56078
    1188.0  0.56525  0.56077
    1188.5  0.56533  0.56076
    1189.0  0.56542  0.56075
    1189.5  0.56551  0.56073
    1190.0  0.56561  0.56072
    1190.5  0.56571  0.56071
    1191.0  0.56581  0.56070
    1191.5  0.56592  0.56069
    1192.0  0.56603  0.56068
    1192.5  0.56614  0.56067
    1193.0  0.56626  0.56066
    1193.5  0.56639  0.56065
    1194.0  0.56652  0.56063
    1194.5  0.56665  0.56062
    1195.0  0.56679  0.56061
    1195.5  0.56694  0.56060
    1196.0  0.56709  0.56059
    1196.5  0.56725  0.56058
    1197.0  0.56742  0.56057
    1197.5  0.56760  0.56056
    1198.0  0.56778  0.56055
    1198.5  0.56798  0.56054
    1199.0  0.56819  0.56052
    1199.5  0.56840  0.56051
    1200.0  0.56863  0.56050
    1200.5  0.56887  0.56049
    1201.0  0.56913  0.56048
    1201.5  0.56941  0.56047
    1202.0  0.56970  0.56046
    1202.5  0.57001  0.56045
    1203.0  0.57035  0.56044
    1203.5  0.57071  0.56042
    1204.0  0.57109  0.56041
    1204.5  0.57151  0.56040
    1205.0  0.57196  0.56039
    1205.5  0.57245  0.56038
    1206.0  0.57298  0.56037
    1206.5  0.57355  0.56036
    1207.0  0.57418  0.56035
    1207.5  0.57486  0.56034
    1208.0  0.57560  0.56033
    1208.5  0.57640  0.56031
    1209.0  0.57728  0.56030
    1209.5  0.57824  0.56029
    1210.0  0.57928  0.56028
    1210.5  0.58042  0.56027
    1211.0  0.58166  0.56026
    1211.5  0.58300  0.56025
    1212.0  0.58446  0.56024
    1212.5  0.58605  0.56023
    1213.0  0.58777  0.56022
    1213.5  0.58962  0.56020
    1214.0  0.59163  0.56019
    1214.5  0.59378  0.56018
    1215.0  0.59610  0.56017
    1215.5  0.59858  0.56016
    1216.0  0.60123  0.56015
