# t(min)  I
   2.00   2.9886e-01
   2.50   2.8385e-01
   3.00   2.6162e-01
   3.50   2.2686e-01
   4.00   2.1619e-01
   4.50   2.1157e-01
   5.00   2.2495e-01
   5.50   1.9026e-01
   6.00   1.7767e-01
   6.50   1.5570e-01
   7.00   1.4143e-01
   7.50   1.2068e-01
   8.00   9.2635e-02
   8.50   1.1401e-01
   9.00   1.5286e-01
   9.50   1.2423e-01
  10.00   1.1375e-01
  10.50   1.0380e-01
  11.00   8.8323e-02
  11.50   8.3417e-02
  12.00   7.9963e-02
  12.50   7.1753e-02
  13.00   8.9407e-02
  13.50   7.8154e-02
  14.00   5.9799e-02
  14.50   5.6519e-02
  15.00   5.2333e-02
  15.50   4.2330e-02
  16.00   3.3653e-02
  16.50   3.7271e-02
  17.00   3.6635e-02
  17.50   3.9850e-02
  18.00   3.9166e-02
  18.50   3.3546e-02
  19.00   3.0463e-02
  19.50   3.2358e-02
  20.00   3.8389e-02
  20.50   3.9257e-02
  21.00   1.9036e-02
  21.50   1.6121e-02
  22.00   2.2265e-02
  22.50   2.4567e-02
  23.00   1.4580e-02
  23.50   2.7093e-02
  24.00   2.0332e-02
  24.50   1.2833e-02
  25.00   -8.0871e-03
