# nu(cm-1)   I
      700  0.06013
      701  0.11219
      702  0.09753
      703  0.06326
      704  0.05467
      705  0.03639
      706  0.05622
      707  0.10411
      708  0.10188
      709  0.10415
      710  0.11558
      711  0.08965
      712  0.09312
      713  0.10903
      714  0.07999
      715  0.08838
      716  0.11461
      717  0.09655
      718  0.08042
      719  0.06339
      720  0.04244
      721  0.07819
      722  0.11818
      723  0.11073
      724  0.09978
      725  0.08423
      726  0.06449
      727  0.06823
      728  0.09629
      729  0.11909
      730  0.09754
      731  0.07098
      732  0.07390
      733  0.10317
      734  0.12151
      735  0.11120
      736  0.08582
      737  0.07914
      738  0.08204
      739  0.07173
      740  0.06243
      741  0.06042
      742  0.06316
      743  0.06632
      744  0.09388
      745  0.13018
      746  0.09952
      747  0.07975
      748  0.10807
      749  0.10329
      750  0.08197
      751  0.08361
      752  0.11429
      753  0.10217
      754  0.08519
      755  0.14847
      756  0.15281
      757  0.10734
      758  0.11065
      759  0.10783
      760  0.09581
      761  0.10222
      762  0.11598
      763  0.12108
      764  0.11626
      765  0.12238
      766  0.13759
      767  0.16414
      768  0.21244
      769  0.22657
      770  0.21069
      771  0.23660
      772  0.24326
      773  0.23334
      774  0.27835
      775  0.33858
      776  0.38577
      777  0.42448
      778  0.46681
      779  0.50877
      780  0.53593
      781  0.54175
      782  0.54046
      783  0.54480
      784  0.54473
      785  0.52887
      786  0.48662
      787  0.41633
      788  0.37447
      789  0.36163
      790  0.30659
      791  0.23658
      792  0.21275
      793  0.25690
      794  0.24533
      795  0.18473
      796  0.16756
      797  0.16233
      798  0.15809
      799  0.16191
      800  0.16425
      801  0.14462
      802  0.11118
      803  0.12153
      804  0.12766
      805  0.10027
      806  0.09641
      807  0.11224
      808  0.12895
      809  0.13950
      810  0.15179
      811  0.15832
      812  0.14596
      813  0.13857
      814  0.12207
      815  0.09242
      816  0.14087
      817  0.18593
      818  0.14160
      819  0.13537
      820  0.16398
      821  0.15777
      822  0.09209
      823  0.08765
