# nu(cm-1)        I    I_pol
    1100.0  0.07153  0.06621
    1100.5  0.07157  0.06621
    1101.0  0.07161  0.06621
    1101.5  0.07165  0.06621
    1102.0  0.07169  0.06621
    1102.5  0.07173  0.06621
    1103.0  0.07177  0.06621
    1103.5  0.07181  0.06621
    1104.0  0.07185  0.06621
    1104.5  0.07189  0.06621
    1105.0  0.07193  0.06621
    1105.5  0.07198  0.06621
    1106.0  0.07202  0.06621
    1106.5  0.07206  0.06621
    1107.0  0.07211  0.06621
    1107.5  0.07215  0.06621
    1108.0  0.07220  0.06621
    1108.5  0.07224  0.06621
    1109.0  0.07229  0.06621
    1109.5  0.07233  0.06621
    1110.0  0.07238  0.06621
    1110.5  0.07243  0.06621
    1111.0  0.07248  0.06621
    1111.5  0.07253  0.06621
    1112.0  0.07258  0.06621
    1112.5  0.07262  0.06621
    1113.0  0.07268  0.06621
    1113.5  0.07273  0.06621
    1114.0  0.07278  0.06621
    1114.5  0.07283  0.06621
    1115.0  0.07288  0.06621
    1115.5  0.07294  0.06621
    1116.0  0.07299  0.06621
    1116.5  0.07305  0.06621
    1117.0  0.07310  0.06621
    1117.5  0.07316  0.06621
    1118.0  0.07321  0.06621
    1118.5  0.07327  0.06621
    1119.0  0.07333  0.06621
    1119.5  0.07339  0.06621
    1120.0  0.07345  0.06621
    1120.5  0.07351  0.06621
    1121.0  0.07357  0.06621
    1121.5  0.07363  0.06621
    1122.0  0.07369  0.06621
    1122.5  0.07376  0.06621
    1123.0  0.07382  0.06621
    1123.5  0.07389  0.06621
    1124.0  0.07395  0.06621
    1124.5  0.07402  0.06621
    1125.0  0.07409  0.06621
    1125.5  0.07415  0.06621
    1126.0  0.07422  0.06621
    1126.5  0.07429  0.06621
    1127.0  0.07437  0.06621
    1127.5  0.07444  0.06621
    1128.0  0.07451  0.06621
    1128.5  0.07459  0.06621
    1129.0  0.07466  0.06621
    1129.5  0.07474  0.06621
    1130.0  0.07481  0.06621
    1130.5  0.07489  0.06621
    1131.0  0.07497  0.06621
    1131.5  0.07505  0.06621
    1132.0  0.07513  0.06621
    1132.5  0.07522  0.06621
    1133.0  0.07530  0.06621
    1133.5  0.07538  0.06621
    1134.0  0.07547  0.06621
    1134.5  0.07556  0.06621
    1135.0  0.07565  0.06621
    1135.5  0.07574  0.06621
    1136.0  0.07583  0.06621
    1136.5  0.07592  0.06621
    1137.0  0.07601  0.06621
    1137.5  0.07611  0.06621
    1138.0  0.07620  0.06621
    1138.5  0.07630  0.06621
    1139.0  0.07640  0.06621
    1139.5  0.07650  0.06621
    1140.0  0.07660  0.06621
    1140.5  0.07671  0.06621
    1141.0  0.07681  0.06621
    1141.5  0.07692  0.06621
    1142.0  0.07703  0.06621
    1142.5  0.07714  0.06621
    1143.0  0.07725  0.06621
    1143.5  0.07736  0.06621
    1144.0  0.07748  0.06621
    1144.5  0.07760  0.06621
    1145.0  0.07771  0.06621
    1145.5  0.07784  0.06621
    1146.0  0.07796  0.06621
    1146.5  0.07808  0.06621
    1147.0  0.07821  0.06621
    1147.5  0.07834  0.06621
    1148.0  0.07847  0.06621
    1148.5  0.07860  0.06621
    1149.0  0.07874  0.06621
    1149.5  0.07887  0.06621
    1150.0  0.07901  0.06621
    1150.5  0.07915  0.06621
    1151.0  0.07930  0.06621
    1151.5  0.07944  0.06621
    1152.0  0.07959  0.06621
    1152.5  0.07974  0.06621
    1153.0  0.07990  0.06621
    1153.5  0.08006  0.06621
    1154.0  0.08021  0.06621
    1154.5  0.08038  0.06621
    1155.0  0.08054  0.06621
    1155.5  0.08071  0.06621
    1156.0  0.08088  0.06621
    1156.5  0.08105  0.06621
    1157.0  0.08123  0.06621
    1157.5  0.08141  0.06621
    1158.0  0.08159  0.06621
    1158.5  0.08178  0.06621
    1159.0  0.08197  0.06621
    1159.5  0.08216  0.06621
    1160.0  0.08236  0.06621
    1160.5  0.08256  0.06621
    1161.0  0.08276  0.06621
    1161.5  0.08297  0.06621
    1162.0  0.08318  0.06621
    1162.5  0.08340  0.06621
    1163.0  0.08362  0.06621
    1163.5  0.08384  0.06621
    1164.0  0.08407  0.06621
    1164.5  0.08431  0.06621
    1165.0  0.08454  0.06621
    1165.5  0.08479  0.06621
    1166.0  0.08503  0.06621
    1166.5  0.08529  0.06621
    1167.0  0.08555  0.06621
    1167.5  0.08581  0.06621
    1168.0  0.08608  0.06621
    1168.5  0.08635  0.06621
    1169.0  0.08663  0.06621
    1169.5  0.08692  0.06621
    1170.0  0.08721  0.06621
    1170.5  0.08751  0.06621
    1171.0  0.08781  0.06621
    1171.5  0.08812  0.06621
    1172.0  0.08844  0.06621
    1172.5  0.08877  0.06621
    1173.0  0.08910  0.06621
    1173.5  0.08944  0.06621
    1174.0  0.08979  0.06621
    1174.5  0.09015  0.06621
    1175.0  0.09051  0.06621
    1175.5  0.09089  0.06621
    1176.0  0.09127  0.06621
    1176.5  0.09167  0.06621
    1177.0  0.09207  0.06621
    1177.5  0.09248  0.06621
    1178.0  0.09291  0.06621
    1178.5  0.09334  0.06621
    1179.0  0.09379  0.06621
    1179.5  0.09425  0.06621
    1180.0  0.09472  0.06621
    1180.5  0.09521  0.06621
    1181.0  0.09571  0.06621
    1181.5  0.09622  0.06621
    1182.0  0.09675  0.06621
    1182.5  0.09730  0.06621
    1183.0  0.09786  0.06621
    1183.5  0.09844  0.06621
    1184.0  0.09904  0.06621
