# t(min)  I
   2.48   5.2000e-01
   3.48   4.7000e-01
   4.48   4.7000e-01
   5.48   4.2000e-01
   6.48   4.0000e-01
   7.48   4.0000e-01
   8.48   3.8000e-01
   9.48   3.7000e-01
  10.48   3.8000e-01
  11.48   3.6000e-01
  12.48   3.8000e-01
  13.48   3.6000e-01
  14.48   3.8000e-01
  15.48   3.2000e-01
  16.48   3.2000e-01
  17.48   3.2000e-01
  18.48   3.2000e-01
  19.48   3.0000e-01
  20.48   3.0000e-01
  21.48   2.8000e-01
  22.48   2.6000e-01
  23.48   2.7000e-01
  24.48   2.5000e-01
  25.48   2.4000e-01
  26.48   2.4000e-01
