#      x         y     xt     yt     yu
  535.89  0.274549   0.00   0.00   0.00
  643.01  0.515848   0.00   0.00   0.00
  707.98  0.177619 -10.00   0.50   0.00
  725.66  0.809215   3.00   0.00   0.00
  765.96  0.188751   0.00   0.00   0.00
  797.42  0.116650   0.00   0.00   0.00
  825.79  0.223421   3.00   0.00   0.00
  915.15  0.223923   0.00   0.00   0.00
 1008.17  0.547329   0.00   0.00   0.00
 1176.71  0.839598   0.00   0.00   0.00
 1219.88  0.411139   0.00   0.00   0.00
 1249.36  1.254904   0.00   0.00   0.00
 1305.12  3.845609   0.00   0.00   0.00
 1337.53 10.564281   0.00  -0.80   0.00
 1373.06  2.050580   0.00   0.00   0.00
 1423.95  1.482680   0.00   0.00   0.00
 1481.59  7.477152   0.00   0.00   0.00
 1507.46  1.962609   5.00   0.00   0.00
 1576.98  4.212121   0.00   0.00   0.00
 1600.24  1.008995  10.00   0.50   0.00
 1646.54  0.155045   0.00   0.00   0.00
