#      x         y     xt     yt     yu
  436.38  0.127574   0.00   0.00   0.00
  536.58  0.183668   0.00   0.00   0.00
  630.20  0.476391 -10.00   0.50   0.00
  646.51  0.506312  10.00   0.50   0.00
  709.90  0.393561 -13.00   0.50   0.00
  726.12  0.852903   5.00   0.00   0.00
  767.12  0.520831  -2.00   0.50   0.00
  783.32  1.722645  15.00   0.50   0.00
  825.11  0.292731  10.00   0.50   0.00
  918.58  0.157676   0.00   0.00   0.00
 1009.66  0.814557   0.00   0.00   0.00
 1120.76  0.122228   0.00   0.00   0.00
 1177.37  0.868007   0.00   0.00   0.00
 1233.62  3.187292 -10.00   0.50   0.00
 1250.57  1.972148  10.00   0.50   0.00
 1303.08  2.983209   0.00   0.00   0.00
 1338.30  9.211622   0.00  -0.80   0.00
 1374.81  2.287673   0.00   1.70   0.00
 1398.93  1.321559   0.00  -0.80   0.00
 1422.56  1.811422   0.00   2.00   0.00
 1448.34  1.004419   0.00  -0.80   0.00
 1480.19  6.825199   5.00   0.00   0.00
 1506.64  1.151594  10.00   0.50   0.00
 1573.52  3.962816   0.00   0.00   0.00
 1616.63  3.084857   0.00   0.00   0.00
 1684.73  1.422379   0.00   0.00   0.00
