#      x         y     xt     yt     yu
  434.52  0.282738   0.00   0.00   0.00
  538.16  0.115950   0.00   0.00   0.00
  632.05  1.197084 -15.00   0.50   0.00
  648.61  0.488568  10.00   0.50   0.00
  709.30  0.422192 -10.00   0.50   0.00
  724.55  0.738719  15.00   0.50   0.00
  781.20  5.070398   0.00   0.00   0.00
  921.70  0.170430   0.00   0.00   0.00
 1006.03  0.743359   0.00   0.00   0.00
 1063.15  0.395518   0.00   0.00   0.00
 1126.29  0.153902   0.00   0.00   0.00
 1181.31  0.849381   0.00   0.00   0.00
 1234.41  7.110991   0.00  -0.80   0.00
 1263.07  1.823116   5.00   0.00   0.00
 1303.66  1.830802   0.00   0.00   0.00
 1342.18  4.158263   0.00   0.00   0.00
 1378.30  2.262609   0.00  -0.80   0.00
 1397.61  2.035264   0.00   2.80   0.00
 1421.24  1.063599   0.00   0.00   0.00
 1446.35  1.726091   5.00   0.00   0.00
 1479.96  4.865740   5.00   0.00   0.00
 1510.31  0.552917   5.00   0.00   0.00
 1573.56  3.709568   0.00   0.00   0.00
 1614.23  6.148719   0.00  -0.40   0.00
 1684.18  2.856516   0.00   0.00   0.00
