#      x         y     xt     yt     yu
 1180.49  0.357493   0.00   0.00   0.00
 1235.74  0.626720   0.00   0.00   0.00
 1250.86  0.682079   0.00   0.00   0.00
 1320.99  2.799029   0.00   0.00   0.00
 1338.43  4.488489   0.00   0.00   0.00
 1365.33  3.764116   0.00   0.00   0.00
 1415.18  1.169611   0.00   0.00   0.00
 1485.50 10.129116   0.00   0.00   0.00
 1540.82  1.133958   0.00   0.00   0.00
 1580.34  4.989118   0.00   0.00   0.00
 1607.14  3.362715   0.00   0.00   0.00
 1652.30  1.348475   0.00   0.00   0.00
