#      x         y     xt     yt     yu
 1179.51  0.429176   0.00   0.00   0.00
 1235.55  0.655688   0.00   0.00   0.00
 1254.56  0.710292   0.00   0.00   0.00
 1324.44  3.468354   0.00   0.00   0.00
 1338.92  4.112449   0.00   0.00   0.00
 1365.62  3.715113   0.00   0.00   0.00
 1415.01  1.197471   0.00   0.00   0.00
 1485.94 10.135637   0.00   0.00   0.00
 1540.10  1.218359   0.00   0.00   0.00
 1579.92  4.674001   0.00   0.00   0.00
 1607.71  3.224392   0.00   0.00   0.00
 1652.96  1.284533   0.00   0.00   0.00
