#      x         y     xt     yt     yu
 1179.27  0.465424   0.00   0.00   0.00
 1234.02  0.676709   0.00   0.00   0.00
 1255.53  0.741637   0.00   0.00   0.00
 1325.14  3.712114   0.00   0.00   0.00
 1339.35  3.845837   0.00   0.00   0.00
 1366.08  3.799150   0.00   0.00   0.00
 1415.49  1.212983   0.00   0.00   0.00
 1486.44 10.140318   0.00   0.00   0.00
 1539.32  1.319692   0.00   0.00   0.00
 1579.95  4.530446   0.00   0.00   0.00
 1608.49  3.184646   0.00   0.00   0.00
 1653.58  1.314048   0.00   0.00   0.00
